Year,Units,Employment status,Industry,Sex,Age group,Value
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,20 to 24,6.63
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,25 to 34,7.82
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,35 to 44,8.37
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,45 to 54,3.14
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,55 to 59,4.42
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,,8.23
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,20 to 24,8.35
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,25 to 34,10.13
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,35 to 44,10.91
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,45 to 54,3.86
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,55 to 59,5.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,,1.37
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,20 to 24,0.64
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,25 to 34,0.98
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,35 to 44,1.68
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,45 to 54,0.87
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,55 to 59,2.05
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,60 to 64,2.11
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,,65+,3.79
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,,1.57
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,20 to 24,0.71
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,25 to 34,1.1
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,35 to 44,1.94
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,45 to 54,1.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,55 to 59,2.33
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,60 to 64,2.31
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Construction,Male,65+,4.3
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,,0.2
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,25 to 34,0.22
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,35 to 44,0.1
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,45 to 54,0.18
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,55 to 59,0.69
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,,65+,0.49
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,,0.37
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,25 to 34,0.4
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,35 to 44,0.18
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,45 to 54,0.38
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Male,55 to 59,1.48
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,,0.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Wholesale and retail trade; repair of motor vehicles and motorcycles; accommodation and food service activities,Female,65+,1.07
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,,,0.88
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,,20 to 24,2.3
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,,25 to 34,0.93
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,,45 to 54,0.7
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,,55 to 59,1.1
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,,60 to 64,1.71
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,,65+,1.55
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,Male,,1.11
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,Male,20 to 24,3.19
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,Male,25 to 34,1.23
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,Male,45 to 54,0.88
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,Male,55 to 59,1.34
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,Male,60 to 64,2.03
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,Transportation and storage,Male,65+,1.8
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,,0.12
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,25 to 34,0.06
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,35 to 44,0.12
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,45 to 54,0.06
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,55 to 59,0.18
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,60 to 64,0.6
2016,"Rate of workplace fatal injury per 100,000 workers (or employees or workers)",,"Information and communication; financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities",,65+,0.37
