Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2012,,Economic infrastructure and services (200),Banking and financial services (240),,,,,,259227.09
2012,,Economic infrastructure and services (200),Banking and financial services (240),,Financial policy and administrative management (24010),,,,24468.6
2012,,Economic infrastructure and services (200),Banking and financial services (240),,Monetary institutions (24020),,,,6289.68
2012,,Economic infrastructure and services (200),Banking and financial services (240),,Formal sector financial intermediaries (24030),,,,203790.07
2012,,Economic infrastructure and services (200),Banking and financial services (240),,Informal/semi-formal financial intermediaries (24040),,,,21863.72
2012,,Economic infrastructure and services (200),Banking and financial services (240),,Education/training in banking and financial services (24081),,,,2815.03
2012,,Economic infrastructure and services (200),Business and other services (250),,,,,,47100.61
2012,,Economic infrastructure and services (200),Business and other services (250),,Business support services and institutions (25010),,,,46235.52
2012,,Economic infrastructure and services (200),Business and other services (250),,Privatisation (25020),,,,865.09
2012,,Production sectors (300),,,,,,,425625.69
2012,,Production sectors (300),,Agriculture (311),,,,,249034.24
2012,,Production sectors (300),,Agriculture (311),Agricultural policy and administrative management (31110),,,,67015.63
2012,,Production sectors (300),,Agriculture (311),Agricultural development (31120),,,,38886.65
2012,,Production sectors (300),,Agriculture (311),Agricultural land resources (31130),,,,11659.18
2012,,Production sectors (300),,Agriculture (311),Agricultural water resources (31140),,,,17830.89
2012,,Production sectors (300),,Agriculture (311),Agricultural inputs (31150),,,,7478.03
2012,,Production sectors (300),,Agriculture (311),Food crop production (31161),,,,6052.55
2012,,Production sectors (300),,Agriculture (311),Industrial crops/export crops (31162),,,,4728.44
2012,,Production sectors (300),,Agriculture (311),Livestock (31163),,,,4203.27
2012,,Production sectors (300),,Agriculture (311),Agrarian reform (31164),,,,81.37
2012,,Production sectors (300),,Agriculture (311),Agricultural alternative development (31165),,,,469.97
2012,,Production sectors (300),,Agriculture (311),Agricultural extension (31166),,,,1426.76
2012,,Production sectors (300),,Agriculture (311),Agricultural education/training (31181),,,,391.37
2012,,Production sectors (300),,Agriculture (311),Agricultural research (31182),,,,45052.12
2012,,Production sectors (300),,Agriculture (311),Agricultural services (31191),,,,35161.28
2012,,Production sectors (300),,Agriculture (311),Plant and post-harvest protection and pest control (31192),,,,322.64
2012,,Production sectors (300),,Agriculture (311),Agricultural financial services (31193),,,,3909.03
2012,,Production sectors (300),,Agriculture (311),Agricultural co-operatives (31194),,,,2345.85
2012,,Production sectors (300),,Agriculture (311),Livestock/veterinary services (31195),,,,2019.23
2012,,Production sectors (300),,Forestry (312),,,,,36302.13
2012,,Production sectors (300),,Forestry (312),Forestry policy and administrative management (31210),,,,26600.03
2012,,Production sectors (300),,Forestry (312),Forestry development (31220),,,,8881.48
2012,,Production sectors (300),,Forestry (312),Fuelwood/charcoal (31261),,,,372.3
2012,,Production sectors (300),,Forestry (312),Forestry education/training (31281),,,,153.34
2012,,Production sectors (300),,Forestry (312),Forestry research (31282),,,,153.82
2012,,Production sectors (300),,Forestry (312),Forestry services (31291),,,,141.15
2012,,Production sectors (300),,Fishing (313),,,,,6396.05
2012,,Production sectors (300),,Fishing (313),Fishing policy and administrative management (31310),,,,3009.49
2012,,Production sectors (300),,Fishing (313),Fishery development (31320),,,,3033.85
2012,,Production sectors (300),,Fishing (313),Fishery education/training (31381),,,,33.34
2012,,Production sectors (300),,Fishing (313),Fishery research (31382),,,,91.26
2012,,Production sectors (300),,Fishing (313),Fishery services (31391),,,,228.12
2012,,Production sectors (300),,Industry (321),,,,,83597.19
2012,,Production sectors (300),,Industry (321),Industrial policy and administrative management (32110),,,,-25199.09
2012,,Production sectors (300),,Industry (321),Industrial development (32120),,,,2723.27
2012,,Production sectors (300),,Industry (321),Small and medium-sized enterprises (SME) development (32130),,,,29343.16
2012,,Production sectors (300),,Industry (321),Cottage industries and handicraft (32140),,,,146.92
2012,,Production sectors (300),,Industry (321),Agro-industries (32161),,,,2269.29
2012,,Production sectors (300),,Industry (321),Forest industries (32162),,,,75.83
2012,,Production sectors (300),,Industry (321),"Textiles, leather and substitutes (32163)",,,,83.85
2012,,Production sectors (300),,Industry (321),Chemicals (32164),,,,5709.69
2012,,Production sectors (300),,Industry (321),Fertilizer plants (32165),,,,0
2012,,Production sectors (300),,Industry (321),Cement/lime/plaster (32166),,,,0
2012,,Production sectors (300),,Industry (321),Energy manufacturing (32167),,,,19423.56
2012,,Production sectors (300),,Industry (321),Pharmaceutical production (32168),,,,0
2012,,Production sectors (300),,Industry (321),Basic metal industries (32169),,,,1611.47
2012,,Production sectors (300),,Industry (321),Non-ferrous metal industries (32170),,,,0
2012,,Production sectors (300),,Industry (321),Engineering (32171),,,,8143.74
2012,,Production sectors (300),,Industry (321),Transport equipment industry (32172),,,,36788.7
2012,,Production sectors (300),,Industry (321),Technological research and development (32182),,,,2476.79
2012,,Production sectors (300),,Mineral resources and mining (322),,,,,13776.18
2012,,Production sectors (300),,Mineral resources and mining (322),Mineral/mining policy and administrative management (32210),,,,10464.05
2012,,Production sectors (300),,Mineral resources and mining (322),Mineral prospection and exploration (32220),,,,1566.77
2012,,Production sectors (300),,Mineral resources and mining (322),Coal (32261),,,,16.76
2012,,Production sectors (300),,Mineral resources and mining (322),Oil and gas (32262),,,,1497.24
2012,,Production sectors (300),,Mineral resources and mining (322),Ferrous metals (32263),,,,0
2012,,Production sectors (300),,Mineral resources and mining (322),Nonferrous metals (32264),,,,0
2012,,Production sectors (300),,Mineral resources and mining (322),Precious metals/materials (32265),,,,47.13
2012,,Production sectors (300),,Mineral resources and mining (322),Industrial minerals (32266),,,,7.3
2012,,Production sectors (300),,Mineral resources and mining (322),Fertilizer minerals (32267),,,,0
2012,,Production sectors (300),,Mineral resources and mining (322),Offshore minerals (32268),,,,176.93
2012,,Production sectors (300),,Construction (323),,,,,-29869.89
2012,,Production sectors (300),,Construction (323),Construction policy and administrative management (32310),,,,-29869.89
2012,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),,,,,63305.52
2012,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade policy and administrative Management (33110),,,,29235.24
2012,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade facilitation (33120),,,,27580.23
2012,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Regional trade agreements (RTAs) (33130),,,,4132.9
2012,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Multilateral trade negotiations (33140),,,,1695.8
2012,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade-related adjustment (33150),,,,310.76
2012,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade education/training (33181),,,,350.6
2012,,Production sectors (300),,Tourism (332),,,,,3084.26
2012,,Production sectors (300),,Tourism (332),Tourism policy and administrative management (33210),,,,3084.26
