Year,Sex,Age,Occupation category,Occupation sub-category,Value
2012,,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.07
2012,,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.38
2012,,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.64
2012,,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",11.4
2012,,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.55
2012,,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.53
2012,,18 to 21,Sales and customer service occupations,,6.9
2012,,22 to 29,Sales and customer service occupations,,8.23
2012,,30 to 39,Sales and customer service occupations,,9.71
2012,,30 to 49,Sales and customer service occupations,,9.54
2012,,50 to 59,Sales and customer service occupations,,8.91
2012,,60 and over,Sales and customer service occupations,,8.37
2012,,18 to 21,Sales and customer service occupations,Sales occupations,6.79
2012,,22 to 29,Sales and customer service occupations,Sales occupations,7.88
2012,,30 to 39,Sales and customer service occupations,Sales occupations,8.88
2012,,30 to 49,Sales and customer service occupations,Sales occupations,8.58
2012,,50 to 59,Sales and customer service occupations,Sales occupations,8.1
2012,,60 and over,Sales and customer service occupations,Sales occupations,8.04
2012,,18 to 21,Sales and customer service occupations,Customer service occupations,7.46
2012,,22 to 29,Sales and customer service occupations,Customer service occupations,9.1
2012,,30 to 39,Sales and customer service occupations,Customer service occupations,11.29
2012,,30 to 49,Sales and customer service occupations,Customer service occupations,11.68
2012,,50 to 59,Sales and customer service occupations,Customer service occupations,11.07
2012,,60 and over,Sales and customer service occupations,Customer service occupations,9.63
2012,,18 to 21,"Process, plant and machine operatives",,7.6
2012,,22 to 29,"Process, plant and machine operatives",,9.17
2012,,30 to 39,"Process, plant and machine operatives",,10.44
2012,,30 to 49,"Process, plant and machine operatives",,11.1
2012,,50 to 59,"Process, plant and machine operatives",,10.88
2012,,60 and over,"Process, plant and machine operatives",,9.72
2012,,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",7.64
2012,,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",9.1
2012,,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",10.49
2012,,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",11.31
2012,,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",11.28
2012,,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",10.13
2012,,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.42
2012,,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.3
2012,,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.38
2012,,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.94
2012,,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.55
2012,,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.53
2012,,18 to 21,Elementary occupations,,6.66
2012,,22 to 29,Elementary occupations,,7.83
2012,,30 to 39,Elementary occupations,,8.63
2012,,30 to 49,Elementary occupations,,8.8
2012,,50 to 59,Elementary occupations,,8.73
2012,,60 and over,Elementary occupations,,8.28
2012,,18 to 21,Elementary occupations,Elementary trades and related occupations,7.57
2012,,22 to 29,Elementary occupations,Elementary trades and related occupations,8.2
2012,,30 to 39,Elementary occupations,Elementary trades and related occupations,8.81
2012,,30 to 49,Elementary occupations,Elementary trades and related occupations,9.51
2012,,50 to 59,Elementary occupations,Elementary trades and related occupations,9.31
2012,,60 and over,Elementary occupations,Elementary trades and related occupations,9.19
2012,,18 to 21,Elementary occupations,Elementary administration and service occupations,6.52
2012,,22 to 29,Elementary occupations,Elementary administration and service occupations,7.74
2012,,30 to 39,Elementary occupations,Elementary administration and service occupations,8.59
2012,,30 to 49,Elementary occupations,Elementary administration and service occupations,8.65
2012,,50 to 59,Elementary occupations,Elementary administration and service occupations,8.62
2012,,60 and over,Elementary occupations,Elementary administration and service occupations,8.12
2012,Male,,,,16.14
2012,Male,18 to 21,,,7.82
2012,Male,22 to 29,,,11.51
2012,Male,30 to 39,,,16.5
2012,Male,30 to 49,,,18.47
2012,Male,50 to 59,,,18.42
2012,Male,60 and over,,,15.49
2012,Male,18 to 21,"Managers, directors and senior officials",,8.38
2012,Male,22 to 29,"Managers, directors and senior officials",,13.93
2012,Male,30 to 39,"Managers, directors and senior officials",,23.75
2012,Male,30 to 49,"Managers, directors and senior officials",,27.78
2012,Male,50 to 59,"Managers, directors and senior officials",,30.13
2012,Male,60 and over,"Managers, directors and senior officials",,24.66
2012,Male,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,8.43
2012,Male,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,15.05
2012,Male,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,25.22
2012,Male,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,28.89
2012,Male,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,31.4
2012,Male,60 and over,"Managers, directors and senior officials",Corporate managers and directors,25.91
2012,Male,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,8.27
2012,Male,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,10.37
2012,Male,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,15.24
2012,Male,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,19.95
2012,Male,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,21.5
2012,Male,60 and over,"Managers, directors and senior officials",Other managers and proprietors,18.67
2012,Male,18 to 21,Professional occupations,,10.07
2012,Male,22 to 29,Professional occupations,,15.88
2012,Male,30 to 39,Professional occupations,,21.9
2012,Male,30 to 49,Professional occupations,,24.89
2012,Male,50 to 59,Professional occupations,,24.95
2012,Male,60 and over,Professional occupations,,23.97
2012,Male,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",9.01
2012,Male,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",15.52
2012,Male,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",20.78
2012,Male,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",23.19
2012,Male,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",22.85
2012,Male,60 and over,Professional occupations,"Science, research, engineering and technology professionals",22.24
2012,Male,18 to 21,Professional occupations,Health professionals,8.07
2012,Male,22 to 29,Professional occupations,Health professionals,16.16
